Participant_id,1st decision,2nd decision,3rd decision,4th decision,5th decision,6th decision,7th decision
3,df on,df off,0,0,0,0,0
4,0,0,0,0,0,0,0
5,df on,0,0,0,0,0,0
6,df on,df off,df off,df on,df off,0,0
7,0,0,0,0,0,0,0
8,rh on,0,0,0,0,0,0
10,rh on,df on,0,0,0,0,0
11,df off,0,0,0,0,0,0
12,df on,0,0,0,0,0,0
13,df on,at off,0,0,0,0,0
14,at off,0,0,0,0,0,0
15,df on,at off,0,0,0,0,0
16,df on,0,0,0,0,0,0
17,df on,df off,0,0,0,0,0
18,at off,df on,df off,0,0,0,0
19,df on,rh on,at on,0,0,0,0
20,df on,0,0,0,0,0,0
21,0,0,0,0,0,0,0
22,at on,at off,0,0,0,0,0
23,df off,rh off,at off,0,0,0,0
24,df off,rh on,rh off,at off,df off,0,0
25,rh on,rh off,0,0,0,0,0
26,rh on,df on,rh off,0,0,0,0
27,df on,0,0,0,0,0,0
28,rh on,at on,at off,df off,0,0,0
29,df on,0,0,0,0,0,0
30,df on,0,0,0,0,0,0
31,rh off,df on,at on,at off,df on,0,0
32,0,0,0,0,0,0,0
33,rh on,at on,df on,rh off,at off,df off,0
034final,rh on,df off,df on,0,0,0,0
75,df on,at on,df off,0,0,0,0
76,at on,at off,0,0,0,0,0
0001nsi,0,0,0,0,0,0,0
0002ns-new,at off,df on,0,0,0,0,0
3,df on,0,0,0,0,0,0
0008nsi,df off,0,0,0,0,0,0
0018nsi,at on,0,0,0,0,0,0
0020nsi,df off,0,0,0,0,0,0
0019nsi,df on,rh off,at on,df off,at off,0,0
0024ns,0,0,0,0,0,0,0
0025nsi,0,0,0,0,0,0,0
0026nsi,0,0,0,0,0,0,0
0027nsi,0,0,0,0,0,0,0
0034nsi,df on,0,0,0,0,0,0
