Participant_id,1st decision,2nd decision,3rd decision,4th decision,5th decision,6th decision,7th decision
3,df 3,df 0,0,0,0,0,0
4,0,0,0,0,0,0,0
5,df 1,0,0,0,0,0,0
6,df 1,df 0,df 0,df 1,df 0,0,0
7,0,0,0,0,0,0,0
8,rh 1,0,0,0,0,0,0
10,rh 1,df 2,0,0,0,0,0
11,df 0,0,0,0,0,0,0
12,df 1,0,0,0,0,0,0
13,df 1,at 0,0,0,0,0,0
14,at 0,0,0,0,0,0,0
15,df 1,at 0,0,0,0,0,0
16,df 1,0,0,0,0,0,0
17,df 1,df 0,0,0,0,0,0
18,at 0,df 3,df 0,0,0,0,0
19,df 1,rh 1,at 1,0,0,0,0
20,df 3,0,0,0,0,0,0
21,0,0,0,0,0,0,0
22,at 1,at 0,0,0,0,0,0
23,df 0,rh 0,at 0,0,0,0,0
24,df 0,rh 1,rh 0,at 0,df 0,0,0
25,rh 1,rh 0,0,0,0,0,0
26,rh 1,df 1,rh 0,0,0,0,0
27,df 1,0,0,0,0,0,0
28,rh 1,at 1,at 0,df 0,0,0,0
29,df 1,0,0,0,0,0,0
30,df 1,0,0,0,0,0,0
31,rh 0,df 1,at 1,at 0,df 1,0,0
32,0,0,0,0,0,0,0
33,rh 1,at 1,df 1,rh 0,at 0,df 0,0
034final,rh 1,df 0,df 1,0,0,0,0
75,df 2,at 1,df 0,0,0,0,0
76,at 1,at 0,0,0,0,0,0
0001nsi,0,0,0,0,0,0,0
0002ns-new,at 0,df 1,0,0,0,0,0
3,df 1,0,0,0,0,0,0
0008nsi,df 0,0,0,0,0,0,0
0018nsi,at 1,0,0,0,0,0,0
0020nsi,df 0,0,0,0,0,0,0
0019nsi,df 1,rh 0,at 1,df 0,at 0,0,0
0024ns,0,0,0,0,0,0,0
0025nsi,0,0,0,0,0,0,0
0026nsi,0,0,0,0,0,0,0
0027nsi,0,0,0,0,0,0,0
0034nsi,df 1,0,0,0,0,0,0
