Participant_id,1st decision,2nd decision,3rd decision,4th decision,5th decision,6th decision,7th decision
35,df 1,df 3,0,0,0,0,0
36-37 on paper,at 1,at 0,0,0,0,0,0
37-38 on paper,df 1,0,0,0,0,0,0
38-39 on paper,at 0,df 1,0,0,0,0,0
39-41 on paper,df 0,at 1,at 0,df 1,0,0,0
43,df 1,0,0,0,0,0,0
44,df 1,0,0,0,0,0,0
46,df 0,0,0,0,0,0,0
47,at 1,df 2,0,0,0,0,0
48,at 1,df 1,0,0,0,0,0
49,df 0,rh 0,at 0,0,0,0,0
50,at 0,0,0,0,0,0,0
51,0,0,0,0,0,0,0
52,0,0,0,0,0,0,0
53,0,0,0,0,0,0,0
54,0,0,0,0,0,0,0
55,df 1,0,0,0,0,0,0
56,df 1,0,0,0,0,0,0
58,df 1,at 1,0,0,0,0,0
59,0,0,0,0,0,0,0
60,df 1,0,0,0,0,0,0
62,0,0,0,0,0,0,0
63,df 3,at 1,df 0,0,0,0,0
64,at 1,at 0,at 1,0,0,0,0
66,df 1,0,0,0,0,0,0
67,0,0,0,0,0,0,0
68,df 1,0,0,0,0,0,0
69,df 1,0,0,0,0,0,0
70,0,0,0,0,0,0,0
71,df 1,0,0,0,0,0,0
72,df 1,0,0,0,0,0,0
73,df 0,at 1,0,0,0,0,0
74,df 0,0,0,0,0,0,0
77,df 1,0,0,0,0,0,0
78,at 1,df 1,0,0,0,0,0
0010 ssi,df 1,df 3,0,0,0,0,0
0011ssi,df 1,0,0,0,0,0,0
0015ssi,at 1,0,0,0,0,0,0
0016ssi,df 1,0,0,0,0,0,0
0017ssi,at 1,0,0,0,0,0,0
0021ssi,0,0,0,0,0,0,0
0022ssi,0,0,0,0,0,0,0
0028ssi,at 1,rh 1,rh 0,df 1,0,0,0
0029ssi,df 1,0,0,0,0,0,0
0032ssi,df 1,0,0,0,0,0,0
