Participant_id,1st decision,2nd decision,3rd decision,4th decision,5th decision,6th decision,7th decision
1,df on,df on,0,0,0,0,0
2,at on,at off,0,0,0,0,0
3,df on,0,0,0,0,0,0
4,at off,df on,0,0,0,0,0
5,df off,at on,at off,df on,0,0,0
6,df on,0,0,0,0,0,0
7,df on,0,0,0,0,0,0
8,df off,0,0,0,0,0,0
9,at on,df on,0,0,0,0,0
10,at on,df on,0,0,0,0,0
11,df off,rh off,at off,0,0,0,0
12,at off,0,0,0,0,0,0
13,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0
17,df on,0,0,0,0,0,0
18,df on,0,0,0,0,0,0
19,df on,at on,0,0,0,0,0
20,0,0,0,0,0,0,0
21,df on,0,0,0,0,0,0
22,0,0,0,0,0,0,0
23,df on,at on,df off,0,0,0,0
24,at on,at off,at on,0,0,0,0
25,df on,0,0,0,0,0,0
26,0,0,0,0,0,0,0
27,df on,0,0,0,0,0,0
28,df on,0,0,0,0,0,0
29,0,0,0,0,0,0,0
30,df on,0,0,0,0,0,0
31,df on,0,0,0,0,0,0
32,df off,at on,0,0,0,0,0
33,df off,0,0,0,0,0,0
34,df on,0,0,0,0,0,0
35,at on,df on,0,0,0,0,0
36,df on,df on,0,0,0,0,0
37,df on,0,0,0,0,0,0
38,at on,0,0,0,0,0,0
39,df on,0,0,0,0,0,0
40,at on,0,0,0,0,0,0
41,0,0,0,0,0,0,0
42,0,0,0,0,0,0,0
43,at on,rh on,rh off,df on,0,0,0
44,df on,0,0,0,0,0,0
45,df on,0,0,0,0,0,0
