Participant_id,1st decision,2nd decision,3rd decision,4th decision,5th decision,6th decision,7th decision
1,df 3,df 0,0,0,0,0,0
2,0,0,0,0,0,0,0
3,df 1,0,0,0,0,0,0
4,df 1,df 0,df 0,df 1,df 0,0,0
5,0,0,0,0,0,0,0
6,rh 1,0,0,0,0,0,0
7,rh 1,df 2,0,0,0,0,0
8,df 0,0,0,0,0,0,0
9,df 1,0,0,0,0,0,0
10,df 1,at 0,0,0,0,0,0
11,at 0,0,0,0,0,0,0
12,df 1,at 0,0,0,0,0,0
13,df 1,0,0,0,0,0,0
14,df 1,df 0,0,0,0,0,0
15,at 0,df 3,df 0,0,0,0,0
16,df 1,rh 1,at 1,0,0,0,0
17,df 3,0,0,0,0,0,0
18,0,0,0,0,0,0,0
19,at 1,at 0,0,0,0,0,0
20,df 0,rh 0,at 0,0,0,0,0
21,df 0,rh 1,rh 0,at 0,df 0,0,0
22,rh 1,rh 0,0,0,0,0,0
23,rh 1,df 1,rh 0,0,0,0,0
24,df 1,0,0,0,0,0,0
25,rh 1,at 1,at 0,df 0,0,0,0
26,df 1,0,0,0,0,0,0
27,df 1,0,0,0,0,0,0
28,rh 0,df 1,at 1,at 0,df 1,0,0
29,0,0,0,0,0,0,0
30,rh 1,at 1,df 1,rh 0,at 0,df 0,0
31,rh 1,df 0,df 1,0,0,0,0
32,df 2,at 1,df 0,0,0,0,0
33,at 1,at 0,0,0,0,0,0
34,0,0,0,0,0,0,0
35,at 0,df 1,0,0,0,0,0
36,df 1,0,0,0,0,0,0
37,df 0,0,0,0,0,0,0
38,at 1,0,0,0,0,0,0
39,df 0,0,0,0,0,0,0
40,df 1,rh 0,at 1,df 0,at 0,0,0
41,0,0,0,0,0,0,0
42,0,0,0,0,0,0,0
43,0,0,0,0,0,0,0
44,0,0,0,0,0,0,0
45,df 1,0,0,0,0,0,0
