Participant_id,1st decision,2nd decision,3rd decision,4th decision,5th decision,6th decision,7th decision,8th decision
1,bl >50% open,bl =50% open,cl on,bl <50% open,0,0,0,0
2,bl <50% open,0,0,0,0,0,0,0
3,bl <50% open,0,0,0,0,0,0,0
4,cl off,bl =50% open,tl off,0,0,0,0,0
5,cl on,bl <50% open,0,0,0,0,0,0
6,bl <50% open,0,0,0,0,0,0,0
7,bl <50% open,tl off,0,0,0,0,0,0
8,cl off,bl <50% open,0,0,0,0,0,0
9,bl <50% open,cl off,tl off,0,0,0,0,0
10,bl <50% open,tl on,0,0,0,0,0,0
11,cl on,bl =50% open,tl off,bl <50% open,bl <50% open,0,0,0
12,bl <50% open,cl off,tl on,cl on,tl off,bl <50% open,0,0
13,tl off,bl <50% open,tl on,0,0,0,0,0
14,cl on,bl <50% open,0,0,0,0,0,0
15,bl =50% open,cl on,bl <50% open,0,0,0,0,0
16,bl <50% open,0,0,0,0,0,0,0
17,cl on,0,0,0,0,0,0,0
18,bl <50% open,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0
20,bl <50% open,cl off,0,0,0,0,0,0
21,bl <50% open,0,0,0,0,0,0,0
22,bl <50% open,tl off,0,0,0,0,0,0
23,bl <50% open,cl off,tl on,0,0,0,0,0
24,bl <50% open,cl off,0,0,0,0,0,0
25,bl <50% open,cl on,cl off,bl <50% open,0,0,0,0
26,bl <50% open,cl on,0,0,0,0,0,0
27,bl <50% open,0,0,0,0,0,0,0
28,bl <50% open,0,0,0,0,0,0,0
29,bl >50% open,cl on,bl <50% open,0,0,0,0,0
30,bl =50% open,cl on,cl off,0,0,0,0,0
31,bl <50% open,cl on,tl on,0,0,0,0,0
32,bl <50% open,cl on,cl on,0,0,0,0,0
33,bl >50% open,bl <50% open,0,0,0,0,0,0
34,bl <50% open,bl <50% open,tl on,0,0,0,0,0
35,bl <50% open,0,0,0,0,0,0,0
36,bl >50% open,bl =50% open,bl <50% open,0,0,0,0,0
37,tl off,cl on,bl <50% open,0,0,0,0,0
38,bl <50% open,tl on,cl off,bl <50% open,0,0,0,0
39,bl <50% open,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0,0
41,cl on,bl <50% open,0,0,0,0,0,0
42,cl on,bl <50% open,0,0,0,0,0,0
43,bl <50% open,cl on,cl off,0,0,0,0,0
44,bl <50% open,0,0,0,0,0,0,0
45,cl on,bl =50% open,bl <50% open,0,0,0,0,0
