Participant_id,1st decision,2nd decision,3rd decision,4th decision,5th decision,6th decision,7th decision
1,df 1,df 3,0,0,0,0,0
2,at 1,at 0,0,0,0,0,0
3,df 1,0,0,0,0,0,0
4,at 0,df 1,0,0,0,0,0
5,df 0,at 1,at 0,df 1,0,0,0
6,df 1,0,0,0,0,0,0
7,df 1,0,0,0,0,0,0
8,df 0,0,0,0,0,0,0
9,at 1,df 2,0,0,0,0,0
10,at 1,df 1,0,0,0,0,0
11,df 0,rh 0,at 0,0,0,0,0
12,at 0,0,0,0,0,0,0
13,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0
17,df 1,0,0,0,0,0,0
18,df 1,0,0,0,0,0,0
19,df 1,at 1,0,0,0,0,0
20,0,0,0,0,0,0,0
21,df 1,0,0,0,0,0,0
22,0,0,0,0,0,0,0
23,df 3,at 1,df 0,0,0,0,0
24,at 1,at 0,at 1,0,0,0,0
25,df 1,0,0,0,0,0,0
26,0,0,0,0,0,0,0
27,df 1,0,0,0,0,0,0
28,df 1,0,0,0,0,0,0
29,0,0,0,0,0,0,0
30,df 1,0,0,0,0,0,0
31,df 1,0,0,0,0,0,0
32,df 0,at 1,0,0,0,0,0
33,df 0,0,0,0,0,0,0
34,df 1,0,0,0,0,0,0
35,at 1,df 1,0,0,0,0,0
36,df 1,df 3,0,0,0,0,0
37,df 1,0,0,0,0,0,0
38,at 1,0,0,0,0,0,0
39,df 1,0,0,0,0,0,0
40,at 1,0,0,0,0,0,0
41,0,0,0,0,0,0,0
42,0,0,0,0,0,0,0
43,at 1,rh 1,rh 0,df 1,0,0,0
44,df 1,0,0,0,0,0,0
45,df 1,0,0,0,0,0,0
