Participant_id,1st decision,2nd decision,3rd decision,4th decision,5th decision,6th decision,7th decision
35,df on,df on,0,0,0,0,0
36-37 on paper,at on,at off,0,0,0,0,0
37-38 on paper,df on,0,0,0,0,0,0
38-39 on paper,at off,df on,0,0,0,0,0
39-41 on paper,df off,at on,at off,df on,0,0,0
43,df on,0,0,0,0,0,0
44,df on,0,0,0,0,0,0
46,df off,0,0,0,0,0,0
47,at on,df on,0,0,0,0,0
48,at on,df on,0,0,0,0,0
49,df off,rh off,at off,0,0,0,0
50,at off,0,0,0,0,0,0
51,0,0,0,0,0,0,0
52,0,0,0,0,0,0,0
53,0,0,0,0,0,0,0
54,0,0,0,0,0,0,0
55,df on,0,0,0,0,0,0
56,df on,0,0,0,0,0,0
58,df on,at on,0,0,0,0,0
59,0,0,0,0,0,0,0
60,df on,0,0,0,0,0,0
62,0,0,0,0,0,0,0
63,df on,at on,df off,0,0,0,0
64,at on,at off,at on,0,0,0,0
66,df on,0,0,0,0,0,0
67,0,0,0,0,0,0,0
68,df on,0,0,0,0,0,0
69,df on,0,0,0,0,0,0
70,0,0,0,0,0,0,0
71,df on,0,0,0,0,0,0
72,df on,0,0,0,0,0,0
73,df off,at on,0,0,0,0,0
74,df off,0,0,0,0,0,0
77,df on,0,0,0,0,0,0
78,at on,df on,0,0,0,0,0
0010 ssi,df on,df on,0,0,0,0,0
0011ssi,df on,0,0,0,0,0,0
0015ssi,at on,0,0,0,0,0,0
0016ssi,df on,0,0,0,0,0,0
0017ssi,at on,0,0,0,0,0,0
0021ssi,0,0,0,0,0,0,0
0022ssi,0,0,0,0,0,0,0
0028ssi,at on,rh on,rh off,df on,0,0,0
0029ssi,df on,0,0,0,0,0,0
0032ssi,df on,0,0,0,0,0,0
