"1st-decision -2nd decision-3rd decision-4th decision-5th decision -6th decision-7th decision
",number of participants
heater on-0-0-0-0-0-0,1
heater on-desk fan on-0-0-0-0-0,1
heater on-heater off-0-0-0-0-0,1
heater on-desk fan on-heater off-0-0-0-0,1
heater on-thermostat on-thermostat off-desk fan off-0-0-0,1
heater on-thermostat on-desk fan on-heater off-thermostat off-desk fan off-0,1
heater on-desk fan off-desk fan on-0-0-0-0-end,1
heater off-desk fan on-thermostat on-thermostat off-desk fan on-0-0-end,1
desk fan on-desk fan off-0-0-0-0-0,2
desk fan on-desk fan off-desk fan off-desk fan on-desk fan off-0-0,1
desk fan on-thermostat off-0-0-0-0-0,2
desk fan on-heater on-thermostat on-0-0-0-0,1
desk fan on-thermostat on-desk fan off-0-0-0-0,1
desk fan on-heater off-thermostat on-desk fan off-thermostat off-0-0,1
desk fan on-0-0-0-0-0-0-end,9
desk fan off-heater off-thermostat off-0-0-0-0,1
desk fan off-heater on-heater off-thermostat off-desk fan off-0-0,1
desk fan off-0-0-0-0-0-0-end,3
thermostat on-thermostat off-0-0-0-0-0,2
thermostat on-0-0-0-0-0-0-end,1
thermostat off-0-0-0-0-0-0,1
thermostat off-desk fan on-desk fan off-0-0-0-0,1
thermostat off-desk fan on-0-0-0-0-0-end,1
0-0-0-0-0-0-0-end,9
