"1st decision-2nd decision-3rd decision-4th decision-5th decision-6th decision-7th decision-8th decision-9th decision-10th decision
",number of participants
task lamp off-blinds closed-task lamp level 4-0-0-0-0-0-0-0,1
task lamp off-desk fan on-ceiling lamp level 3-blinds 25% open-0-0-0-0-0-0-end,1
desk fan on-ceiling lamp on-0-0-0-0-0-0-0-0,1
desk fan on-thermostat on-0-0-0-0-0-0-0-0,1
desk fan on-blinds 25% open-0-0-0-0-0-0-0-0-end,1
desk fan off-thermostat on-ceiling lamp level 2-thermostat off-blinds 25% open-desk fan on-0-0-0-0,1
desk fan off-ceiling lamp off-blinds 25% open-0-0-0-0-0-0-0-end,1
ceiling lamp level 2-blinds 50% open-desk fan off-task lamp off-heater off-thermostat off-blinds closed-blinds 25% open-0-0,1
ceiling lamp level 2-blinds 25% open-0-0-0-0-0-0-0-0,2
ceiling lamp level 2-blinds 50% open-blinds 25% open-desk fan on-0-0-0-0-0-0-end,1
ceiling lamp on-blinds 25% open-0-0-0-0-0-0-0-0-end,1
blinds 100% open-desk fan on-blinds 50% open-ceiling lamp level 2-blinds 25% open-desk fan level 3-0-0-0-0-end,1
blinds 75% open-ceiling lamp level 2-blinds 25% open-0-0-0-0-0-0-0,1
blinds 75% open-blinds 25% open-desk fan off-0-0-0-0-0-0-0,1
blinds 75% open-blinds 50% open-desk fan on-blinds 25% open-desk fan level 3-0-0-0-0-0-end,1
blinds 50% open-ceiling lamp on-blinds 25% open-0-0-0-0-0-0-0,1
blinds 50% open-ceiling lamp on-desk fan on-ceiling lamp off-0-0-0-0-0-0-end,1
blinds 25% open-desk fan on-task lamp off-0-0-0-0-0-0-0,1
blinds 25% open-ceiling lamp off-task lamp level 2-ceiling lamp level 3-task lamp off-thermostat off-blinds closed-0-0-0,1
blinds 25% open-0-0-0-0-0-0-0-0-0,1
blinds 25% open-task lamp off-0-0-0-0-0-0-0-0,1
blinds 25% open-ceiling lamp off-desk fan level 3-task lamp on-thermostat on-desk fan off-0-0-0-0,1
blinds 25% open-ceiling lamp level 3-0-0-0-0-0-0-0-0,1
blinds 25% open-ceiling lamp level 2-desk fan on-task lamp on-0-0-0-0-0-0,1
blinds 25% open-desk fan off-thermostat on-ceiling lamp level 3-ceiling lamp level 2-0-0-0-0-0,1
blinds 25% open-desk fan on-blinds 25% open-task lamp level 2-0-0-0-0-0-0,1
blinds 25% open-thermostat on-desk fan on-0-0-0-0-0-0-0,1
blinds 25% open-ceiling lamp on-thermostat on-ceiling lamp off-heater on-heater off-desk fan on-0-0-0,1
blinds 25% open-desk fan on-0-0-0-0-0-0-0-0-end,7
blinds closed-ceiling lamp off-0-0-0-0-0-0-0-0,1
blinds closed-desk fan on-ceiling lamp on-ceiling lamp off-blinds closed-0-0-0-0-0-end,1
thermostat on-blinds 25% open-thermostat off-0-0-0-0-0-0-0,1
thermostat on-blinds 25% open-ceiling lamp off-task lamp off-desk fan level 2-0-0-0-0-0,1
thermostat on-desk fan on-blinds 25% open-task lamp level 2-0-0-0-0-0-0,1
thermostat on-blinds 25% open-thermostat off-ceiling lamp off-thermostat on-0-0-0-0-0,1
thermostat on-blinds 25% open-task lamp level 2-ceiling lamp off-blinds 25% open-0-0-0-0-0,1
thermostat on-0-0-0-0-0-0-0-0-0-end,1
thermostat off-ceiling lamp off-blinds 50% open-task lamp off-desk fan on-0-0-0-0-0-end,1
