"1st decision-2nd decision-3rd decision-4th decision-5th decision-6th decision-7th decision-8th decision-9th decision-10th decision-11th decision
",number of participants
task lamp  on-blinds <50% open-ceiling lamp on-0-0-0-0-0-0-0-0,1
task lamp  on-ceiling lamp off-task lamp  on-0-0-0-0-0-0-0-0,1
task lamp  on-blinds >50% open-0-0-0-0-0-0-0-0-0,1
task lamp  on-blinds >50% open-ceiling lamp on-0-0-0-0-0-0-0-0,1
task lamp  on-ceiling lamp on-0-0-0-0-0-0-0-0-0,1
task lamp  on-ceiling lamp off-task lamp  off-blinds =50% open-ceiling lamp off-0-0-0-0-0-0,1
task lamp  on-ceiling lamp on-ceiling lamp on-ceiling lamp on-task lamp  on-ceiling lamp off-0-0-0-0-0,1
task lamp  on-ceiling lamp on-blinds <50% open-task lamp  on-0-0-0-0-0-0-0-end,1
ceiling lamp on-ceiling lamp off-task lamp  on-blinds <50% open-ceiling lamp on-0-0-0-0-0-0,1
ceiling lamp on-ceiling lamp on-blinds >50% open-task lamp  on-ceiling lamp off-task lamp  on-blinds >50% open-ceiling lamp on-blinds >50% open-blinds >50% open-0,1
ceiling lamp on-blinds >50% open-0-0-0-0-0-0-0-0-0,2
ceiling lamp on-task lamp  on-blinds >50% open-0-0-0-0-0-0-0-0,2
ceiling lamp on-task lamp  on-ceiling lamp on-blinds >50% open-0-0-0-0-0-0-0,1
ceiling lamp on-blinds >50% open-ceiling lamp off-task lamp  on-0-0-0-0-0-0-0,1
ceiling lamp on-task lamp  on-ceiling lamp on-0-0-0-0-0-0-0-0,1
ceiling lamp on-blinds <50% open-0-0-0-0-0-0-0-0-0,1
ceiling lamp on-ceiling lamp on-0-0-0-0-0-0-0-0-0,1
ceiling lamp on-0-0-0-0-0-0-0-0-0-0-end,2
ceiling lamp off-blinds <50% open-ceiling lamp on-blinds =50% open-ceiling lamp on-0-0-0-0-0-0-end,1
blinds >50% open-0-0-0-0-0-0-0-0-0-0,4
blinds >50% open-ceiling lamp on-ceiling lamp on-task lamp  off-0-0-0-0-0-0-0,1
blinds >50% open-ceiling lamp on-blinds =50% open-0-0-0-0-0-0-0-0,1
blinds >50% open-task lamp  on-ceiling lamp on-blinds <50% open-blinds >50% open-0-0-0-0-0-0,1
blinds >50% open-blinds >50% open-ceiling lamp on-0-0-0-0-0-0-0-0,1
blinds >50% open-ceiling lamp on-0-0-0-0-0-0-0-0-0-end,3
blinds =50% open-ceiling lamp on-0-0-0-0-0-0-0-0-0-end,1
blinds <50% open-ceiling lamp on-task lamp  on-0-0-0-0-0-0-0-0,1
blinds <50% open-task lamp  on-ceiling lamp on-ceiling lamp off-task lamp  off-0-0-0-0-0-0,1
blinds <50% open-ceiling lamp off-task lamp  on-blinds >50% open-task lamp  off-ceiling lamp on-task lamp  on-0-0-0-0,1
blinds <50% open-ceiling lamp on-task lamp  off-ceiling lamp off-ceiling lamp on-task lamp  on-0-0-0-0-0,1
blinds <50% open-task lamp  off-blinds <50% open-0-0-0-0-0-0-0-0-end,1
0-0-0-0-0-0-0-0-0-0-0-end,6
