"1st decision-2nd decision-3rd decision-4th decision-5th decision-6th decision-7th decision-8th decision-9th decision 
",number of participants
task lamp off-blinds closed-task lamp level 4-0-0-0-0-0-0,1
task lamp off-ceiling lamp level 3-blinds 25% open-0-0-0-0-0-0-end,1
ceiling lamp level 2-blinds 25% open-0-0-0-0-0-0-0,3
ceiling lamp level 2-blinds 50% open-task lamp off-blinds closed-blinds 25% open-0-0-0-0,1
ceiling lamp level 2-blinds 50% open-blinds 25% open-0-0-0-0-0-0-end,1
ceiling lamp on-0-0-0-0-0-0-0-0,1
ceiling lamp on-blinds 25% open-0-0-0-0-0-0-0-end,1
ceiling lamp off-blinds 50% open-task lamp off-0-0-0-0-0-0,1
ceiling lamp off-blinds 25% open-0-0-0-0-0-0-0-end,1
blinds 100% open-blinds 50% open-ceiling lamp level 2-blinds 25% open-0-0-0-0-0-end,1
blinds 75% open-ceiling lamp level 2-blinds 25% open-0-0-0-0-0-0,1
blinds 75% open-blinds 25% open-0-0-0-0-0-0-0,1
blinds 75% open-blinds 50% open-blinds 25% open-0-0-0-0-0-0-end,1
blinds 50% open-ceiling lamp on-blinds 25% open-0-0-0-0-0-0,1
blinds 50% open-ceiling lamp on-ceiling lamp off-0-0-0-0-0-0-end,1
blinds 25% open-task lamp off-0-0-0-0-0-0-0,2
blinds 25% open-ceiling lamp off-task lamp off-0-0-0-0-0-0,1
blinds 25% open-task lamp level 2-0-0-0-0-0-0-0,1
blinds 25% open-ceiling lamp off-task lamp level 2-ceiling lamp level 3-task lamp off-blinds closed-0-0-0,1
blinds 25% open-ceiling lamp off-task lamp on-0-0-0-0-0-0,1
blinds 25% open-ceiling lamp off-0-0-0-0-0-0-0,1
blinds 25% open-ceiling lamp level 3-0-0-0-0-0-0-0,1
blinds 25% open-ceiling lamp level 2-task lamp on-0-0-0-0-0-0,1
blinds 25% open-ceiling lamp level 3-ceiling lamp level 2-0-0-0-0-0-0,1
blinds 25% open-blinds 25% open-task lamp level 2-0-0-0-0-0-0,1
blinds 25% open-task lamp level 2-ceiling lamp off-blinds 25% open-0-0-0-0-0,1
blinds 25% open-ceiling lamp on-ceiling lamp off-0-0-0-0-0-0,1
blinds 25% open-0-0-0-0-0-0-0-0-end,11
blinds closed-ceiling lamp off-0-0-0-0-0-0-0,1
blinds closed-ceiling lamp on-ceiling lamp off-blinds closed-0-0-0-0-0-end,1
0-0-0-0-0-0-0-0-0-end,2
