"1st decision-2nd decision-3rd decision-4th decision-5th decision-6th decision-7th decision-8th decision-9th decision-10th decision-11th decision 
",number of participants
task lamp level 4-blinds closed-ceiling lamp level 2-0-0-0-0-0-0-0-0,1
task lamp level 4-blinds 100% open-ceiling lamp on-0-0-0-0-0-0-0-0,1
task lamp level 4-ceiling lamp level 2-blinds 25% open-task lamp level 4-0-0-0-0-0-0-0-end,1
task lamp level 3-blinds 75% open-0-0-0-0-0-0-0-0-0,1
task lamp level 3-ceiling lamp level 3-0-0-0-0-0-0-0-0-0-end,1
task lamp level 2-ceiling lamp off-task lamp level 4-0-0-0-0-0-0-0-0-end,1
task lamp on-ceiling lamp off-task lamp off-blinds 50% open-ceiling lamp off-0-0-0-0-0-0,1
task lamp on-ceiling lamp on-ceiling lamp level 2-ceiling lamp on-task lamp level 4-ceiling lamp off-0-0-0-0-0-end,1
ceiling lamp level 3-ceiling lamp off-task lamp level 4-blinds closed-ceiling lamp on-0-0-0-0-0-0,1
ceiling lamp level 3-ceiling lamp on-blinds 100% open-task lamp level 2-ceiling lamp off-task lamp level 2-blinds 100% open-ceiling lamp level 3-blinds 75% open-blinds 100% open-0,1
ceiling lamp level 3-blinds 100% open-0-0-0-0-0-0-0-0-0,1
ceiling lamp level 3-task lamp level 3-blinds 100% open-0-0-0-0-0-0-0-0,1
ceiling lamp level 3-blinds 75% open-ceiling lamp off-task lamp level 4-0-0-0-0-0-0-0,1
ceiling lamp level 3-ceiling lamp level 3-0-0-0-0-0-0-0-0-0,1
ceiling lamp level 3-task lamp level 3-blinds 75% open-0-0-0-0-0-0-0-0,1
ceiling lamp level 3-0-0-0-0-0-0-0-0-0-0-end,2
ceiling lamp on-blinds 100% open-0-0-0-0-0-0-0-0-0,1
ceiling lamp on-task lamp level 2-ceiling lamp level 3-blinds 100% open-0-0-0-0-0-0-0,1
ceiling lamp on-task lamp level 2-ceiling lamp level 3-0-0-0-0-0-0-0-0,1
ceiling lamp on-blinds 25% open-0-0-0-0-0-0-0-0-0-end,1
ceiling lamp off-blinds closed-ceiling lamp level 3-blinds 50% open-ceiling lamp level 2-0-0-0-0-0-0-end,1
blinds 100% open-ceiling lamp level 2-0-0-0-0-0-0-0-0-0,2
blinds 100% open-0-0-0-0-0-0-0-0-0-0,3
blinds 100% open-ceiling lamp level 3-ceiling lamp on-task lamp off-0-0-0-0-0-0-0,1
blinds 100% open-task lamp level 4-ceiling lamp level 3-blinds closed-blinds 75% open-0-0-0-0-0-0,1
blinds 100% open-ceiling lamp on-0-0-0-0-0-0-0-0-0-end,1
blinds 75% open-ceiling lamp level 2-blinds 50% open-0-0-0-0-0-0-0-0,1
blinds 75% open-blinds 100% open-ceiling lamp level 2-0-0-0-0-0-0-0-0,1
blinds 75% open-0-0-0-0-0-0-0-0-0-0-end,1
blinds 50% open-ceiling lamp level 3-0-0-0-0-0-0-0-0-0-end,1
blinds 25% open-ceiling lamp level 2-task lamp level 2-0-0-0-0-0-0-0-0,1
blinds 25% open-ceiling lamp level 3-task lamp off-ceiling lamp off-ceiling lamp level 3-task lamp level 4-0-0-0-0-0,1
blinds 25% open-task lamp off-blinds closed-0-0-0-0-0-0-0-0-end,1
blinds closed-task lamp level 4-ceiling lamp level 3-ceiling lamp off-task lamp off-0-0-0-0-0-0,1
blinds closed-ceiling lamp off-task lamp level 4-blinds 100% open-task lamp off-ceiling lamp level 3-task lamp level 4-0-0-0-0-end,1
0-0-0-0-0-0-0-0-0-0-0-end,6
